2.200000000E-1;-5.684584603E1;1.300024523E1;-1.335090435E-1;5.271278268E-2
2.300000000E-1;-5.684711725E1;1.300046740E1;-4.694469210E-2;-4.991223288E-3
2.400000000E-1;-5.684678493E1;1.300014541E1;6.624741667E-2;-2.870708997E-2
2.500000000E-1;-5.684579230E1;1.299989326E1;9.222406169E-3;-2.550999328E-2
2.600000000E-1;-5.684660048E1;1.299963521E1;-3.073686350E-2;3.673650955E-2
2.700000000E-1;-5.684640704E1;1.300062799E1;2.143720116E-2;4.042869797E-2
2.800000000E-1;-5.684617174E1;1.300044378E1;7.076767599E-3;1.116055005E-2
2.900000000E-1;-5.684626550E1;1.300085120E1;-4.415208829E-2;3.869034754E-2
3.000000000E-1;-5.684705478E1;1.300121759E1;1.174425026E-3;3.045886422E-2
3.100000000E-1;-5.684624202E1;1.300146038E1;4.663037229E-2;-1.497644438E-2
3.200000000E-1;-5.684612217E1;1.300091806E1;-6.004415386E-2;9.001314212E-3
3.300000000E-1;-5.684744290E1;1.300164040E1;1.293231047E-1;-4.741513630E-2
3.400000000E-1;-5.684353571E1;1.299996976E1;6.599388361E-1;-2.798489623E-1
3.500000000E-1;-5.683424412E1;1.299604343E1;3.527437438E0;-9.907547359E-1
3.600000000E-1;-5.677298696E1;1.298015466E1;6.421761827E0;-1.578170242E0
3.700000000E-1;-5.670580889E1;1.296448002E1;8.952105203E0;-3.145105453E0
3.800000000E-1;-5.659394486E1;1.291725255E1;1.027112967E1;-4.976081792E0
3.900000000E-1;-5.650038629E1;1.286495838E1;1.257323821E1;-6.459356956E0
4.000000000E-1;-5.634248009E1;1.278806541E1;1.424670413E1;-7.336461769E0
4.100000000E-1;-5.621545221E1;1.271822915E1;1.585836077E1;-8.134459529E0
4.200000000E-1;-5.602531288E1;1.262537622E1;1.916738962E1;-1.173110004E1
4.300000000E-1;-5.583210442E1;1.248360715E1;1.855189688E1;-1.651135513E1
4.400000000E-1;-5.565427494E1;1.229514912E1;1.572778180E1;-3.091977768E1
4.500000000E-1;-5.551754878E1;1.186521159E1;2.042179099E1;-2.795499633E1
4.600000000E-1;-5.524583912E1;1.173604919E1;2.839130123E1;-1.353306681E1
4.700000000E-1;-5.494972276E1;1.159455026E1;3.034972591E1;-1.473647392E1
4.800000000E-1;-5.463884460E1;1.144131972E1;3.178092776E1;-1.585412747E1
4.900000000E-1;-5.431410420E1;1.127746771E1;3.443326236E1;-1.697810036E1
5.000000000E-1;-5.395017935E1;1.110175771E1;3.721522771E1;-1.773470439E1
5.100000000E-1;-5.356979965E1;1.092277362E1;3.931683081E1;-1.771439876E1
5.200000000E-1;-5.316384274E1;1.074746973E1;4.102618539E1;-1.887765597E1
5.300000000E-1;-5.274927594E1;1.054522050E1;4.604372884E1;-2.273425048E1
5.400000000E-1;-5.224296816E1;1.029278472E1;4.873899721E1;-2.638157893E1
5.500000000E-1;-5.177449599E1;1.001758892E1;4.896164025E1;-2.570710578E1
5.600000000E-1;-5.126373536E1;9.778642607E0;4.998992901E1;-1.865830276E1
5.700000000E-1;-5.077469741E1;9.644422868E0;5.102443531E1;-1.996257191E1
5.800000000E-1;-5.024324665E1;9.379391169E0;5.460573295E1;-2.596632910E1
5.900000000E-1;-4.968258276E1;9.125096286E0;5.745970922E1;-2.407690149E1
6.000000000E-1;-4.909405246E1;8.897853139E0;5.952143768E1;-2.414925561E1
6.100000000E-1;-4.849215400E1;8.642111174E0;6.163986322E1;-2.516068287E1
6.200000000E-1;-4.786125520E1;8.394639482E0;6.308972026E1;-2.520848052E1
6.300000000E-1;-4.723035960E1;8.137941564E0;6.498955321E1;-2.536385353E1
6.400000000E-1;-4.656146414E1;7.887362411E0;6.771617496E1;-2.473839262E1
6.500000000E-1;-4.587603610E1;7.643173711E0;6.798084483E1;-1.756097753E1
6.600000000E-1;-4.520184724E1;7.536142861E0;6.821362605E1;-2.065602136E1
6.700000000E-1;-4.451176358E1;7.230053284E0;7.052588409E1;-2.804850756E1
6.800000000E-1;-4.379132956E1;6.975172709E0;7.411785432E1;-2.253421231E1
6.900000000E-1;-4.302940649E1;6.779369038E0;7.597918527E1;-2.518120913E1
7.000000000E-1;-4.227174585E1;6.471548527E0;7.698883875E1;-2.645286269E1
7.100000000E-1;-4.148962972E1;6.250311784E0;7.970333073E1;-2.282555861E1
7.200000000E-1;-4.067767924E1;6.015037355E0;8.076100133E1;-2.226742678E1
7.300000000E-1;-3.987440969E1;5.804963249E0;8.436479413E1;-3.867487977E0
7.400000000E-1;-3.899038336E1;5.937687595E0;8.723924424E1;1.508319843E0
7.500000000E-1;-3.812962480E1;5.835129646E0;8.648942367E1;-2.604285282E1
7.600000000E-1;-3.726059488E1;5.416830539E0;8.535737578E1;-4.374838263E1
7.700000000E-1;-3.642247729E1;4.960161993E0;8.639541187E1;-3.475640552E1
7.800000000E-1;-3.553268664E1;4.721702428E0;8.907403578E1;-2.337166316E1
7.900000000E-1;-3.464099657E1;4.492728730E0;9.048415260E1;-1.999090516E1
8.000000000E-1;-3.372300359E1;4.321884325E0;9.063520045E1;-1.774075466E1
8.100000000E-1;-3.282829256E1;4.137913636E0;9.088886366E1;-1.762156232E1
8.200000000E-1;-3.190522632E1;3.969453079E0;9.442234568E1;-1.678662442E1
8.300000000E-1;-3.093984565E1;3.802181148E0;9.570903364E1;-1.521568254E1
8.400000000E-1;-2.999104565E1;3.665139428E0;9.464515542E1;-1.338088871E1
8.500000000E-1;-2.904694254E1;3.534563374E0;9.683189161E1;-1.242553105E1
